Zip Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
95403,Santa Rosa,California,CA,Sonoma,38.4822,-122.7473
20892,Bethesda,Maryland,MD,Montgomery,39.0024,-77.1034
64114,Kansas City,Missouri,MO,Jackson,38.9621,-94.5959
77030,Houston,Texas,TX,Harris,29.7041,-95.401
22030,Fairfax,Virginia,VA,Fairfax (city),38.8458,-77.3242
63127,Saint Louis,Missouri,MO,St. Louis,38.5355,-90.407
19104,Philadelphia,Pennsylvania,PA,Philadelphia,39.9597,-75.2024
30342,Atlanta,Georgia,GA,Fulton,33.8842,-84.3761
34109,Naples,Florida,FL,Collier,26.2534,-81.7644
22042,Falls Church,Virginia,VA,Fairfax,38.8635,-77.1939
63110,Saint Louis,Missouri,MO,St. Louis (city),38.6185,-90.2564
80205,Denver,Colorado,CO,Denver,39.759,-104.9661
35294,Birmingham,Alabama,AL,Jefferson,33.5446,-86.9292
75093,Plano,Texas,TX,Collin,33.0299,-96.7889
48201,Detroit,Michigan,MI,Wayne,42.3474,-83.0604
46321,Munster,Indiana,IN,Lake,41.5544,-87.5011
63017,Chesterfield,Missouri,MO,St. Louis,38.6491,-90.5358
98034,Kirkland,Washington,WA,King,47.7188,-122.1966
75390,Dallas,Texas,TX,Dallas,32.7673,-96.7776
32792,Winter Park,Florida,FL,Orange,28.5974,-81.3036
28677,Statesville,North Carolina,NC,Iredell,35.799,-80.894
45219,Cincinnati,Ohio,OH,Hamilton,39.127,-84.5131
45229,Cincinnati,Ohio,OH,Hamilton,39.149,-84.4892
7753,Neptune,New Jersey,NJ,Monmouth,40.2096,-74.0714
29801,Aiken,South Carolina,SC,Aiken,33.553,-81.7194
93720,Fresno,California,CA,Fresno,36.8579,-119.7655
65807,Springfield,Missouri,MO,Greene,37.1668,-93.3085
55455,Minneapolis,Minnesota,MN,Hennepin,44.9735,-93.2331
63141,Saint Louis,Missouri,MO,St. Louis,38.6565,-90.4542
72034,Conway,Arkansas,AR,Faulkner,35.0823,-92.4683
78230,San Antonio,Texas,TX,Bexar,29.5407,-98.5521
62703,Springfield,Illinois,IL,Sangamon,39.7622,-89.6275
92037,La Jolla,California,CA,San Diego,32.8455,-117.2521
10029,New York,New York,NY,New York,40.7918,-73.9447
80524,Fort Collins,Colorado,CO,Larimer,40.5986,-105.0581
10003,New York,New York,NY,New York,40.7313,-73.9892
28501,Kinston,North Carolina,NC,Lenoir,35.2783,-77.586
63131,Saint Louis,Missouri,MO,St. Louis,38.6171,-90.4504
29425,Charleston,South Carolina,SC,Charleston,32.7862,-79.9471
50325,Clive,Iowa,IA,Polk,41.6067,-93.7457
91723,Covina,California,CA,Los Angeles,34.086,-117.8843
63044,Bridgeton,Missouri,MO,St. Louis,38.7506,-90.4161
94306,Palo Alto,California,CA,Santa Clara,37.418,-122.1274
48109,Ann Arbor,Michigan,MI,Washtenaw,42.2776,-83.7409
85718,Tucson,Arizona,AZ,Pima,32.3112,-110.9179
45601,Chillicothe,Ohio,OH,Ross,39.338,-82.9895
64108,Kansas City,Missouri,MO,Jackson,39.0837,-94.5868
92093,La Jolla,California,CA,San Diego,32.8473,-117.2742
22046,Falls Church,Virginia,VA,Falls Church (city),38.8856,-77.1802
33146,Miami,Florida,FL,Miami-Dade,25.7205,-80.2728
29406,Charleston,South Carolina,SC,Charleston,32.9352,-80.0325
94117,San Francisco,California,CA,City and County of San Francisco,37.7712,-122.4413
38401,Columbia,Tennessee,TN,Maury,35.6156,-87.038
21204,Towson,Maryland,MD,Baltimore,39.4072,-76.6038
60068,Park Ridge,Illinois,IL,Cook,42.0122,-87.8417
75235,Dallas,Texas,TX,Dallas,32.8252,-96.8388
95219,Stockton,California,CA,San Joaquin,38.01,-121.3698
63376,Saint Peters,Missouri,MO,Saint Charles,38.7802,-90.6228
99508,Anchorage,Alaska,AK,Anchorage Municipality,61.206,-149.8101
29615,Greenville,South Carolina,SC,Greenville,34.8661,-82.3198
78539,Edinburg,Texas,TX,Hidalgo,26.2792,-98.1832
89052,Henderson,Nevada,NV,Clark,35.9878,-115.1167
90211,Beverly Hills,California,CA,Los Angeles,34.0652,-118.383
78705,Austin,Texas,TX,Travis,30.2896,-97.7396
91367,Woodland Hills,California,CA,Los Angeles,34.1767,-118.6159
77380,Spring,Texas,TX,Montgomery,30.1441,-95.4703
78504,Mcallen,Texas,TX,Hidalgo,26.2556,-98.2303
32901,Melbourne,Florida,FL,Brevard,28.0691,-80.62
89102,Las Vegas,Nevada,NV,Clark,36.1433,-115.2004
32224,Jacksonville,Florida,FL,Duval,30.3031,-81.4404
85016,Phoenix,Arizona,AZ,Maricopa,33.5021,-112.0305
90005,Los Angeles,California,CA,Los Angeles,34.0585,-118.3012
60611,Chicago,Illinois,IL,Cook,41.8971,-87.6223
3756,Lebanon,New Hampshire,NH,Grafton,43.6423,-72.2518
29605,Greenville,South Carolina,SC,Greenville,34.8001,-82.3932
80045,Aurora,Colorado,CO,Adams,39.7467,-104.8384
80209,Denver,Colorado,CO,Denver,39.7074,-104.9686
30322,Atlanta,Georgia,GA,DeKalb,33.7952,-84.3248
99201,Spokane,Washington,WA,Spokane,47.6665,-117.4365
48334,Farmington,Michigan,MI,Oakland,42.5065,-83.3484
20879,Gaithersburg,Maryland,MD,Montgomery,39.173,-77.1855
80138,Parker,Colorado,CO,Douglas,39.5102,-104.7216
94305,Stanford,California,CA,Santa Clara,37.4236,-122.1619
97302,Salem,Oregon,OR,Marion,44.9039,-123.0445
84102,Salt Lake City,Utah,UT,Salt Lake,40.76,-111.8627
21044,Columbia,Maryland,MD,Howard,39.2141,-76.8788
14618,Rochester,New York,NY,Monroe,43.1122,-77.5618
92618,Irvine,California,CA,Orange,33.7074,-117.7054
94304,Palo Alto,California,CA,Santa Clara,37.4334,-122.1842
29646,Greenwood,South Carolina,SC,Greenwood,34.1758,-82.1562
7960,Morristown,New Jersey,NJ,Morris,40.7952,-74.4873
2215,Boston,Massachusetts,MA,Suffolk,42.3471,-71.1027
90033,Los Angeles,California,CA,Los Angeles,34.0487,-118.2084
15224,Pittsburgh,Pennsylvania,PA,Allegheny,40.4642,-79.9448
80303,Boulder,Colorado,CO,Boulder,39.9914,-105.2392
28659,North Wilkesboro,North Carolina,NC,Wilkes,36.2017,-81.1286
72202,Little Rock,Arkansas,AR,Pulaski,34.7363,-92.2741
92653,Laguna Hills,California,CA,Orange,33.5916,-117.6985
6510,New Haven,Connecticut,CT,New Haven,41.3087,-72.9271
94115,San Francisco,California,CA,City and County of San Francisco,37.7856,-122.4358
53226,Milwaukee,Wisconsin,WI,Milwaukee,43.0493,-88.0414
33136,Miami,Florida,FL,Miami-Dade,25.7864,-80.2042
91204,Glendale,California,CA,Los Angeles,34.1379,-118.2599
55811,Duluth,Minnesota,MN,St. Louis,46.8147,-92.1998
94110,San Francisco,California,CA,City and County of San Francisco,37.7509,-122.4153
84130,Salt Lake City,Utah,UT,Salt Lake,40.6681,-111.9083
33620,Tampa,Florida,FL,Hillsborough,28.06,-82.4079
7101,Newark,New Jersey,NJ,Essex,40.7361,-74.2251
70118,New Orleans,Louisiana,LA,Orleans,29.9504,-90.1236
