Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/14/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
8/14/2017,Epic: Cassiopeia,Epic: Cassiopeia,5,debit,Epic Meal,Bank of America ,,
8/11/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.00,debit,Epic Meal,Bank of America ,,
8/11/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.50,debit,Epic Meal,Bank of America ,,
8/11/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.75,debit,Epic Meal,Bank of America ,,
8/10/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.50,debit,Epic Meal,Bank of America ,,
8/10/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.00,debit,Epic Meal,Bank of America ,,
8/9/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.00,debit,Epic Meal,Bank of America ,,
8/9/2017,Epic: King's Cross,Epic: King's Cross,5.75,debit,Epic Meal,Bank of America ,,
8/8/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.00,debit,Epic Meal,Bank of America ,,
8/8/2017,Epic: King's Cross,Epic: King's Cross,5.25,debit,Epic Meal,Bank of America ,,
8/7/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
8/7/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.00,debit,Epic Meal,Bank of America ,,
8/4/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
8/4/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.75,debit,Epic Meal,Bank of America ,,
8/3/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
8/3/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
8/2/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.25,debit,Epic Meal,Bank of America ,,
8/2/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
8/1/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.5,debit,Epic Meal,Bank of America ,,
8/1/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/28/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.5,debit,Epic Meal,Bank of America ,,
7/28/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/27/2017,Epic: Cassiopeia,Epic: Cassiopeia,6,debit,Epic Meal,Bank of America ,,
7/27/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.25,debit,Epic Meal,Bank of America ,,
7/26/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
7/26/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/25/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.75,debit,Epic Meal,Bank of America ,,
7/25/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/24/2017,Epic: Cassiopeia,Epic: Cassiopeia,6,debit,Epic Meal,Bank of America ,,
7/24/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/21/2017,Epic: Cassiopeia,Epic: Cassiopeia,4,debit,Epic Meal,Bank of America ,,
7/21/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/20/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.5,debit,Epic Meal,Bank of America ,,
7/20/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/19/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
7/19/2017,Epic: Farmers' Market,Epic: Farmers' Market,1,debit,Epic Meal,Bank of America ,,
7/19/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/18/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
7/18/2017,Epic: King's Cross,Epic: King's Cross,6.75,debit,Epic Meal,Bank of America ,,
7/13/2017,Epic: Tokyo General Store,Epic: Tokyo General Store,4.45,debit,Epic Meal,Bank of America ,,
7/13/2017,Epic: Tokyo General Store,Epic: Tokyo General Store,4.45,debit,Epic Meal,Bank of America ,,
7/11/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
7/11/2017,Epic: King's Cross,Epic: King's Cross,5.25,debit,Epic Meal,Bank of America ,,
7/10/2017,Epic: Cassiopeia,Epic: Cassiopeia,3,debit,Epic Meal,Bank of America ,,
7/10/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
7/7/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.25,debit,Epic Meal,Bank of America ,,
