"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/30/2017","Anytime Fitness","ABC*Anytime Fitness","42.00","debit","Gym","CHASE FREEDOM UNLIMITED","",""
"11/28/2017","Capitol Centre Foods","CAPITOL CENTRE FOODS","5.18","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"11/28/2017","Colectivo Coffee","COLECTIVO COFFEE ROAST","2.11","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/29/2017","Trader Joe's","TRADER JOE'S #712  QPS","42.14","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"11/29/2017","Lakeside Street Coffee House","Lakeside Street Coffee House","3.25","debit","Coffee Shops","Cash","",""
"11/24/2017","Target","TARGET CARD SRVC DES:AUTO PYMT ID:XXXXX0060443579 INDN: PICCIRILLO...","129.79","debit","Shopping","BofA Core Checking","",""
"11/23/2017","Cp Mart East","CP MART EAST","32.95","debit","Gas & Fuel","CHASE FREEDOM UNLIMITED","",""
"11/23/2017","Comet Coffee Shop","SQ *COMET COFFEE","5.09","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"11/23/2017","Ancora Coffee Tea","ANCORA COFFEE & TEA","2.25","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/22/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.11","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/22/2017","Auto","AUTO PAYMENT C_DEPARTMENTSTORE","129.79","credit","Credit Card Payment","Target Credit Card","",""
"11/21/2017","Chase","CHASE CREDIT CRD DES:AUTOPAY ID:XXXXX0000164054 INDN:PICCIRILLO...","561.05","debit","Credit Card Payment","BofA Core Checking","",""
"11/21/2017","Parking For Thanksgiving","Parking for thanksgiving trip","28.00","credit","Income","BofA Core Checking","",""
"11/21/2017","Barriques","BARRIQUES - 4","2.54","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/20/2017","Transfer from BofA Core Checking","AUTOMATIC PAYMENT - THANK","561.05","credit","Credit Card Payment","CHASE FREEDOM UNLIMITED","",""
"11/20/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.11","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/20/2017","Black Locust Cafe","ROBINIA","2.00","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/19/2017","Way.com Parking","WAY.COM - PARKING","28.15","debit","Parking","CHASE FREEDOM UNLIMITED","",""
"11/19/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.11","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/19/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","21.50","debit","Groceries","Target Credit Card","",""
"11/17/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","1.90","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/16/2017","Sprint PCS","SPRINT *WIRELESS","64.60","debit","Mobile Phone","CHASE FREEDOM UNLIMITED","",""
"11/15/2017","Barriques","BARRIQUES - 4","2.54","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/14/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.11","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/14/2017","Kabul","KABUL","15.97","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"11/13/2017","Discover Bank Des","DISCOVER BANK DES:PREARRANGE ID:XXXXX86502 INDN:JEFFREY PICCIRILLO...","1000.00","credit","Transfer","BofA Core Checking","",""
"11/13/2017","Trader Joe's","TRADER JOE'S #712  QPS","7.47","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"11/13/2017","Black Locust Cafe","ROBINIA","2.00","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/13/2017","Nogginz Hair Shop","Nogginz Hair Shop","25.00","debit","Hair","Cash","",""
"11/12/2017","Amstar","AMSTAR","16.70","debit","Gas & Fuel","CHASE FREEDOM UNLIMITED","",""
"11/12/2017","Barriques","BARRIQUES - 4","2.54","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
