Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2018-05-01T00:00:00,9614,1,atom,Editing & IDEs,2
2018-05-01T00:00:00,4045,1,127.0.0.1:5000,General Software Development,2
2018-05-01T00:00:00,3337,1,youtube.com,General Reference & Learning,1
2018-05-01T00:00:00,2280,1,iterm2,General Software Development,2
2018-05-01T00:00:00,1327,1,messages,Instant Message,0
2018-05-01T00:00:00,1127,1,shippingpartnerfinder.slack.com,Email,1
2018-05-01T00:00:00,811,1,github.com,General Software Development,2
2018-05-01T00:00:00,778,1,canvas.wisc.edu,Engineering & Technology,1
2018-05-01T00:00:00,554,1,Terminal,Systems Operations,2
2018-05-01T00:00:00,515,1,microsoft word,Writing,2
2018-05-01T00:00:00,396,1,facebook.com,General Social Networking,-2
2018-05-01T00:00:00,375,1,stackoverflow.com,General Software Development,2
2018-05-01T00:00:00,344,1,brackets,Editing & IDEs,2
2018-05-01T00:00:00,329,1,google.com,Search,0
2018-05-01T00:00:00,323,1,myvpostpay.verizonwireless.com,General Business,2
2018-05-01T00:00:00,260,1,app.yodiz.com,Project Management,2
2018-05-01T00:00:00,241,1,newtab,Browsers,0
2018-05-01T00:00:00,241,1,loginwindow,General Utilities,1
2018-05-01T00:00:00,234,1,nytimes.com,General News & Opinion,0
2018-05-01T00:00:00,146,1,MS Excel,General Business,2
2018-05-01T00:00:00,118,1,clion,Editing & IDEs,2
2018-05-01T00:00:00,64,1,verizonwireless.com,General Business,2
2018-05-01T00:00:00,63,1,docs.python.org,General Software Development,2
2018-05-01T00:00:00,54,1,TextEdit,Writing,2
2018-05-01T00:00:00,53,1,google chrome,Browsers,0
2018-05-01T00:00:00,44,1,ebillpay.verizonwireless.com,General Business,2
2018-05-01T00:00:00,43,1,settings,General Utilities,1
2018-05-01T00:00:00,41,1,hrs.wisconsin.edu,Email,0
2018-05-01T00:00:00,41,1,sqlitetutorial.net,Uncategorized,0
2018-05-01T00:00:00,41,1,sqlite.1065341.n5.nabble.com,Uncategorized,0
2018-05-01T00:00:00,40,1,tutorialspoint.com,General Reference & Learning,1
2018-05-01T00:00:00,35,1,my.wisc.edu,General Reference & Learning,1
2018-05-01T00:00:00,31,1,pythonforbeginners.com,General Software Development,2
2018-05-01T00:00:00,31,1,isitdownrightnow.com,Internet Utilities,1
2018-05-01T00:00:00,30,1,Finder,General Utilities,0
2018-05-01T00:00:00,27,1,nbillpay.verizonwireless.com,Administration,2
2018-05-01T00:00:00,27,1,w3schools.com,Engineering & Technology,1
2018-05-01T00:00:00,19,1,lettercount.com,General Business,2
2018-05-01T00:00:00,12,1,signin.yodiz.com,General Software Development,2
2018-05-01T00:00:00,11,1,bootswatch.com,General Software Development,2
2018-05-01T00:00:00,11,1,outlook.office.com,Email,1
