Date,Time Spent (seconds),Number of People,Category
2017-10-15T00:00:00,2130,1,Software Development
2017-10-15T00:00:00,1856,1,Communication & Scheduling
2017-10-15T00:00:00,653,1,Reference & Learning
2017-10-15T00:00:00,498,1,Business
2017-10-15T00:00:00,242,1,Utilities
2017-10-15T00:00:00,211,1,Social Networking
2017-10-15T00:00:00,168,1,Uncategorized
2017-10-15T00:00:00,48,1,Design & Composition
2017-10-15T00:00:00,6,1,News & Opinion
2017-10-16T00:00:00,17975,1,Software Development
2017-10-16T00:00:00,7912,1,Reference & Learning
2017-10-16T00:00:00,4062,1,Communication & Scheduling
2017-10-16T00:00:00,3260,1,Business
2017-10-16T00:00:00,1766,1,Social Networking
2017-10-16T00:00:00,1682,1,Design & Composition
2017-10-16T00:00:00,1177,1,Utilities
2017-10-16T00:00:00,864,1,Entertainment
2017-10-16T00:00:00,423,1,News & Opinion
2017-10-16T00:00:00,316,1,Uncategorized
2017-10-16T00:00:00,13,1,Shopping
2017-10-17T00:00:00,19941,1,Software Development
2017-10-17T00:00:00,3159,1,Reference & Learning
2017-10-17T00:00:00,2772,1,Business
2017-10-17T00:00:00,2238,1,Design & Composition
2017-10-17T00:00:00,1898,1,Communication & Scheduling
2017-10-17T00:00:00,1746,1,Utilities
2017-10-17T00:00:00,1399,1,Social Networking
2017-10-17T00:00:00,1167,1,Uncategorized
2017-10-17T00:00:00,104,1,News & Opinion
2017-10-17T00:00:00,101,1,Shopping
2017-10-18T00:00:00,14390,1,Software Development
2017-10-18T00:00:00,4911,1,Communication & Scheduling
2017-10-18T00:00:00,4800,1,Business
2017-10-18T00:00:00,4362,1,Reference & Learning
2017-10-18T00:00:00,2819,1,Social Networking
2017-10-18T00:00:00,1217,1,Utilities
2017-10-18T00:00:00,1147,1,Design & Composition
2017-10-18T00:00:00,384,1,Uncategorized
2017-10-18T00:00:00,21,1,Entertainment
2017-10-18T00:00:00,1,1,Shopping
2017-10-19T00:00:00,6354,1,Communication & Scheduling
2017-10-19T00:00:00,4160,1,Social Networking
2017-10-19T00:00:00,2842,1,Reference & Learning
2017-10-19T00:00:00,2140,1,Software Development
2017-10-19T00:00:00,2101,1,Business
2017-10-19T00:00:00,775,1,Utilities
2017-10-19T00:00:00,462,1,News & Opinion
2017-10-19T00:00:00,192,1,Uncategorized
2017-10-19T00:00:00,185,1,Entertainment
2017-10-19T00:00:00,131,1,Design & Composition
2017-10-20T00:00:00,15943,1,Software Development
2017-10-20T00:00:00,5618,1,Communication & Scheduling
2017-10-20T00:00:00,3172,1,Social Networking
2017-10-20T00:00:00,2902,1,Reference & Learning
2017-10-20T00:00:00,2459,1,Utilities
2017-10-20T00:00:00,734,1,Business
2017-10-20T00:00:00,494,1,Design & Composition
2017-10-20T00:00:00,319,1,News & Opinion
2017-10-20T00:00:00,287,1,Uncategorized
2017-10-20T00:00:00,2,1,Shopping
2017-10-21T00:00:00,9960,1,Software Development
2017-10-21T00:00:00,2843,1,Reference & Learning
2017-10-21T00:00:00,1668,1,Business
2017-10-21T00:00:00,1023,1,Communication & Scheduling
2017-10-21T00:00:00,969,1,Utilities
2017-10-21T00:00:00,514,1,Uncategorized
2017-10-21T00:00:00,247,1,Social Networking
2017-10-21T00:00:00,92,1,News & Opinion
2017-10-21T00:00:00,50,1,Design & Composition
2017-10-22T00:00:00,25339,1,Software Development
2017-10-22T00:00:00,6754,1,Reference & Learning
2017-10-22T00:00:00,2127,1,Communication & Scheduling
2017-10-22T00:00:00,487,1,Utilities
2017-10-22T00:00:00,292,1,Business
2017-10-22T00:00:00,256,1,Uncategorized
2017-10-22T00:00:00,95,1,News & Opinion
2017-10-22T00:00:00,73,1,Social Networking
2017-10-23T00:00:00,7364,1,Communication & Scheduling
2017-10-23T00:00:00,6613,1,Software Development
2017-10-23T00:00:00,6117,1,Reference & Learning
2017-10-23T00:00:00,4779,1,Social Networking
2017-10-23T00:00:00,1169,1,News & Opinion
2017-10-23T00:00:00,630,1,Utilities
2017-10-23T00:00:00,457,1,Uncategorized
2017-10-23T00:00:00,382,1,Business
2017-10-23T00:00:00,77,1,Design & Composition
2017-10-24T00:00:00,10667,1,Software Development
2017-10-24T00:00:00,6744,1,Reference & Learning
2017-10-24T00:00:00,5296,1,Communication & Scheduling
2017-10-24T00:00:00,2102,1,Utilities
2017-10-24T00:00:00,1777,1,News & Opinion
2017-10-24T00:00:00,1577,1,Social Networking
2017-10-24T00:00:00,1114,1,Uncategorized
2017-10-24T00:00:00,348,1,Business
2017-10-24T00:00:00,240,1,Design & Composition
2017-10-24T00:00:00,17,1,Entertainment
2017-10-25T00:00:00,8509,1,Software Development
2017-10-25T00:00:00,7415,1,Communication & Scheduling
2017-10-25T00:00:00,4507,1,Reference & Learning
2017-10-25T00:00:00,2203,1,Social Networking
2017-10-25T00:00:00,1814,1,Utilities
2017-10-25T00:00:00,1491,1,Uncategorized
2017-10-25T00:00:00,1059,1,Business
2017-10-25T00:00:00,1021,1,Entertainment
2017-10-25T00:00:00,408,1,Design & Composition
2017-10-25T00:00:00,318,1,News & Opinion
2017-10-26T00:00:00,8078,1,Software Development
2017-10-26T00:00:00,2755,1,Communication & Scheduling
2017-10-26T00:00:00,2654,1,Reference & Learning
2017-10-26T00:00:00,1708,1,Uncategorized
2017-10-26T00:00:00,1526,1,Social Networking
2017-10-26T00:00:00,818,1,News & Opinion
2017-10-26T00:00:00,760,1,Business
2017-10-26T00:00:00,707,1,Utilities
2017-10-26T00:00:00,135,1,Entertainment
2017-10-26T00:00:00,116,1,Design & Composition
2017-10-26T00:00:00,25,1,Shopping
2017-10-27T00:00:00,13076,1,Software Development
2017-10-27T00:00:00,11338,1,Reference & Learning
2017-10-27T00:00:00,8455,1,Communication & Scheduling
2017-10-27T00:00:00,1684,1,Social Networking
2017-10-27T00:00:00,701,1,Utilities
2017-10-27T00:00:00,603,1,News & Opinion
2017-10-27T00:00:00,466,1,Business
2017-10-27T00:00:00,167,1,Design & Composition
2017-10-27T00:00:00,79,1,Uncategorized
2017-10-27T00:00:00,24,1,Entertainment
2017-10-28T00:00:00,8755,1,Software Development
2017-10-28T00:00:00,5895,1,Reference & Learning
2017-10-28T00:00:00,2138,1,Communication & Scheduling
2017-10-28T00:00:00,851,1,News & Opinion
2017-10-28T00:00:00,831,1,Utilities
2017-10-28T00:00:00,664,1,Business
2017-10-28T00:00:00,511,1,Social Networking
2017-10-28T00:00:00,331,1,Design & Composition
2017-10-28T00:00:00,313,1,Shopping
2017-10-28T00:00:00,126,1,Uncategorized
2017-10-28T00:00:00,100,1,Entertainment
2017-10-29T00:00:00,22160,1,Software Development
2017-10-29T00:00:00,9673,1,Reference & Learning
2017-10-29T00:00:00,3773,1,Communication & Scheduling
2017-10-29T00:00:00,1971,1,Social Networking
2017-10-29T00:00:00,917,1,Utilities
2017-10-29T00:00:00,592,1,Uncategorized
2017-10-29T00:00:00,462,1,Entertainment
2017-10-29T00:00:00,230,1,News & Opinion
2017-10-29T00:00:00,113,1,Business
2017-10-29T00:00:00,66,1,Design & Composition
2017-10-30T00:00:00,9611,1,Communication & Scheduling
2017-10-30T00:00:00,8015,1,Software Development
