Date,Time Spent (seconds),Number of People,Category
2017-10-15T19:00:00,70,1,Business
2017-10-15T19:00:00,17,1,Utilities
2017-10-15T20:00:00,127,1,Utilities
2017-10-15T20:00:00,94,1,Uncategorized
2017-10-15T20:00:00,27,1,Communication & Scheduling
2017-10-15T20:00:00,7,1,Business
2017-10-15T20:00:00,2,1,Software Development
2017-10-15T21:00:00,178,1,Communication & Scheduling
2017-10-15T21:00:00,32,1,Utilities
2017-10-15T21:00:00,2,1,Design & Composition
2017-10-15T22:00:00,886,1,Software Development
2017-10-15T22:00:00,340,1,Communication & Scheduling
2017-10-15T22:00:00,219,1,Business
2017-10-15T22:00:00,212,1,Reference & Learning
2017-10-15T22:00:00,29,1,Utilities
2017-10-15T22:00:00,9,1,Design & Composition
2017-10-15T22:00:00,4,1,News & Opinion
2017-10-15T23:00:00,1311,1,Communication & Scheduling
2017-10-15T23:00:00,1242,1,Software Development
2017-10-15T23:00:00,441,1,Reference & Learning
2017-10-15T23:00:00,211,1,Social Networking
2017-10-15T23:00:00,202,1,Business
2017-10-15T23:00:00,74,1,Uncategorized
2017-10-15T23:00:00,37,1,Design & Composition
2017-10-15T23:00:00,37,1,Utilities
2017-10-15T23:00:00,2,1,News & Opinion
2017-10-16T00:00:00,792,1,Software Development
2017-10-16T00:00:00,345,1,Reference & Learning
2017-10-16T00:00:00,201,1,Business
2017-10-16T00:00:00,200,1,Communication & Scheduling
2017-10-16T00:00:00,43,1,Utilities
2017-10-16T00:00:00,2,1,Design & Composition
2017-10-16T01:00:00,247,1,Business
2017-10-16T01:00:00,188,1,Software Development
2017-10-16T01:00:00,13,1,Reference & Learning
2017-10-16T01:00:00,7,1,Communication & Scheduling
2017-10-16T01:00:00,4,1,Utilities
2017-10-16T02:00:00,487,1,Social Networking
2017-10-16T02:00:00,328,1,Software Development
2017-10-16T02:00:00,138,1,Business
2017-10-16T02:00:00,135,1,News & Opinion
2017-10-16T02:00:00,14,1,Utilities
2017-10-16T02:00:00,3,1,Reference & Learning
2017-10-16T09:00:00,271,1,Communication & Scheduling
2017-10-16T09:00:00,37,1,Reference & Learning
2017-10-16T09:00:00,2,1,News & Opinion
2017-10-16T10:00:00,1248,1,Communication & Scheduling
2017-10-16T10:00:00,778,1,Reference & Learning
2017-10-16T10:00:00,409,1,Social Networking
2017-10-16T10:00:00,56,1,Business
2017-10-16T10:00:00,4,1,Utilities
2017-10-16T10:00:00,3,1,Uncategorized
2017-10-16T10:00:00,1,1,Entertainment
2017-10-16T10:00:00,1,1,Software Development
2017-10-16T11:00:00,1257,1,Reference & Learning
2017-10-16T11:00:00,652,1,Business
2017-10-16T11:00:00,538,1,Communication & Scheduling
2017-10-16T11:00:00,185,1,Social Networking
2017-10-16T11:00:00,123,1,Utilities
2017-10-16T11:00:00,96,1,Uncategorized
2017-10-16T11:00:00,57,1,Entertainment
2017-10-16T11:00:00,6,1,Software Development
2017-10-16T11:00:00,4,1,Shopping
2017-10-16T11:00:00,1,1,Design & Composition
2017-10-16T12:00:00,1046,1,Software Development
2017-10-16T12:00:00,688,1,Reference & Learning
2017-10-16T12:00:00,662,1,Business
2017-10-16T12:00:00,57,1,Utilities
2017-10-16T12:00:00,12,1,Communication & Scheduling
2017-10-16T12:00:00,1,1,Uncategorized
2017-10-16T13:00:00,2859,1,Software Development
2017-10-16T13:00:00,359,1,Reference & Learning
2017-10-16T13:00:00,110,1,Communication & Scheduling
2017-10-16T13:00:00,95,1,Utilities
2017-10-16T13:00:00,95,1,Business
2017-10-16T13:00:00,67,1,Design & Composition
2017-10-16T13:00:00,6,1,News & Opinion
2017-10-16T14:00:00,2219,1,Software Development
2017-10-16T14:00:00,622,1,Business
2017-10-16T14:00:00,398,1,Communication & Scheduling
2017-10-16T14:00:00,283,1,Reference & Learning
2017-10-16T14:00:00,51,1,Utilities
2017-10-16T14:00:00,5,1,Design & Composition
2017-10-16T15:00:00,2681,1,Software Development
2017-10-16T15:00:00,542,1,Reference & Learning
2017-10-16T15:00:00,90,1,News & Opinion
2017-10-16T15:00:00,75,1,Business
2017-10-16T15:00:00,34,1,Design & Composition
2017-10-16T15:00:00,20,1,Communication & Scheduling
2017-10-16T15:00:00,20,1,Utilities
2017-10-16T16:00:00,1947,1,Software Development
2017-10-16T16:00:00,562,1,Reference & Learning
2017-10-16T16:00:00,129,1,Communication & Scheduling
2017-10-16T16:00:00,74,1,Utilities
2017-10-16T16:00:00,55,1,Business
2017-10-16T16:00:00,34,1,Design & Composition
2017-10-16T17:00:00,1083,1,Software Development
2017-10-16T17:00:00,619,1,Reference & Learning
2017-10-16T17:00:00,423,1,Utilities
2017-10-16T17:00:00,407,1,Entertainment
2017-10-16T17:00:00,239,1,Communication & Scheduling
2017-10-16T17:00:00,110,1,Business
2017-10-16T17:00:00,43,1,Design & Composition
2017-10-16T17:00:00,42,1,Uncategorized
2017-10-16T17:00:00,36,1,News & Opinion
2017-10-16T17:00:00,19,1,Social Networking
2017-10-16T17:00:00,6,1,Shopping
2017-10-16T18:00:00,618,1,Reference & Learning
2017-10-16T18:00:00,165,1,Business
2017-10-16T18:00:00,122,1,News & Opinion
2017-10-16T18:00:00,95,1,Social Networking
2017-10-16T18:00:00,53,1,Software Development
2017-10-16T18:00:00,25,1,Utilities
2017-10-16T18:00:00,24,1,Communication & Scheduling
2017-10-16T18:00:00,12,1,Design & Composition
2017-10-16T18:00:00,4,1,Uncategorized
2017-10-16T19:00:00,2027,1,Software Development
2017-10-16T19:00:00,668,1,Reference & Learning
2017-10-16T19:00:00,387,1,Communication & Scheduling
2017-10-16T19:00:00,192,1,Design & Composition
2017-10-16T19:00:00,63,1,Business
2017-10-16T19:00:00,20,1,Utilities
2017-10-16T20:00:00,1714,1,Software Development
2017-10-16T20:00:00,1242,1,Design & Composition
2017-10-16T20:00:00,376,1,Reference & Learning
2017-10-16T20:00:00,115,1,Communication & Scheduling
2017-10-16T20:00:00,105,1,Utilities
2017-10-16T20:00:00,35,1,Business
2017-10-16T21:00:00,1009,1,Software Development
2017-10-16T21:00:00,487,1,Reference & Learning
2017-10-16T21:00:00,370,1,Social Networking
2017-10-16T21:00:00,170,1,Uncategorized
2017-10-16T21:00:00,103,1,Communication & Scheduling
2017-10-16T21:00:00,84,1,Utilities
2017-10-16T21:00:00,59,1,Business
2017-10-16T21:00:00,47,1,Design & Composition
2017-10-16T21:00:00,32,1,News & Opinion
2017-10-16T22:00:00,251,1,Communication & Scheduling
2017-10-16T22:00:00,209,1,Entertainment
2017-10-16T22:00:00,201,1,Social Networking
2017-10-16T22:00:00,94,1,Reference & Learning
2017-10-16T22:00:00,35,1,Utilities
2017-10-16T22:00:00,25,1,Business
