x,Total Snow,Daily Max
1884,43.40,5.0
1885,75.90,11.0
1886,60.50,8.0
1887,48.20,10.0
1888,26.30,7.5
1889,38.20,7.0
1890,44.30,5.5
1891,42.50,6.5
1892,43.30,6.6
1893,23.50,3.5
1894,19.50,2.8
1895,25.40,4.2
1896,23.70,3.6
1897,70.70,9.2
1898,26.90,5.0
1899,31.80,3.0
1900,28.50,4.5
1901,4.00,0.8
1902,20.50,6.0
1903,41.00,6.0
1904,45.90,7.0
1905,37.80,6.2
1906,22.30,4.0
1907,28.80,5.0
1908,39.50,9.1
1909,70.90,12.1
1910,29.90,5.3
1911,58.20,11.5
1912,34.90,7.0
1913,17.10,6.8
1914,30.20,4.2
1915,30.60,11.0
1916,39.80,6.1
1917,52.30,6.2
1918,31.80,7.4
1919,33.90,2.9
1920,27.60,8.1
1921,26.90,7.0
1922,66.20,8.1
1923,47.50,5.9
1924,25.50,5.5
1925,52.80,6.1
1926,43.80,4.9
1927,32.30,5.0
1928,59.00,8.1
1929,37.50,6.0
1930,42.00,6.8
1931,15.20,3.9
1932,25.90,4.0
1933,18.00,3.0
1934,39.60,6.1
1935,52.50,5.5
1936,28.50,5.6
1937,28.00,5.8
1938,34.30,6.1
1939,35.90,6.3
1940,38.10,6.5
1941,27.60,10.1
1942,53.50,5.6
1943,23.00,3.5
1944,39.30,4.8
1945,45.70,9.7
1946,37.10,9.7
1947,51.30,7.7
1948,36.60,5.0
1949,37.00,10.4
1950,62.10,4.9
1951,57.20,4.9
1952,28.00,5.0
1953,20.60,4.0
1954,39.20,5.9
1955,29.90,5.0
1956,30.70,6.9
1957,21.90,2.6
1958,67.30,10.0
1959,52.20,5.7
1960,22.10,10.0
1961,49.30,4.7
1962,37.20,6.2
1963,31.10,5.2
1964,50.90,6.0
1965,25.40,6.1
1966,38.00,5.9
1967,12.70,1.4
1968,33.40,4.2
1969,37.50,8.4
1970,67.40,12.7
1971,50.30,10.9
1972,44.00,12.9
1973,42.90,5.0
1974,60.40,4.9
1975,30.80,6.0
1976,26.30,2.2
1977,56.70,7.0
1978,76.10,8.1
1979,31.00,4.0
1980,26.50,4.8
1981,50.00,8.0
1982,41.40,6.5
1983,42.20,5.2
1984,53.70,5.1
1985,72.40,12.1
1986,34.50,6.0
1987,62.20,13.0
1988,36.20,5.0
1989,34.80,4.1
1990,55.00,17.1
1991,42.50,5.4
1992,71.20,7.9
1993,73.70,11.6
1994,52.80,12.6
1995,60.50,12.6
1996,50.00,3.9
1997,53.90,6.8
1998,38.10,11.3
1999,34.10,5.0
2000,52.20,8.2
2001,31.80,6.6
2002,28.80,4.7
2003,31.60,3.9
2004,43.90,5.7
2005,47.90,6.1
2006,55.10,6.0
2007,101.40,12.0
2008,72.00,10.3
2009,51.60,7.1
2010,73.00,8.2
2011,31.50,5.2
2012,70.50,13.3
2013,59.00,5.9
2014,34.00,5.4
2015,32.50,5.6
2016,44.00,5.7
