YearMonth,High,Average,Low
189501,21,11,0
189502,21,11,1
189503,40,30,19
189504,60,48,36
189505,71,58,46
189506,82,70,57
189507,83,70,56
189508,83,70,58
189509,78,66,54
189510,54,42,30
189511,40,31,23
189512,32,25,18
189601,30,22,14
189602,32,23,14
189603,37,28,19
189604,62,52,41
189605,77,66,55
189606,81,69,57
189607,83,72,61
189608,82,71,59
189609,67,57,47
189610,55,45,34
189611,40,31,23
189612,33,27,20
189701,26,18,10
189702,31,24,17
189703,38,30,21
189704,55,46,36
189705,69,57,45
189706,77,66,54
189707,85,74,63
189708,77,66,55
189709,79,67,54
189710,65,54,42
189711,41,32,24
189712,25,17,9
189801,30,22,13
189802,29,22,14
189803,45,36,26
189804,56,45,34
189805,69,57,46
189806,80,69,58
189807,85,72,60
189808,80,69,58
189809,74,63,52
189810,55,46,38
189811,41,32,23
189812,25,17,8
189901,25,16,8
189902,21,11,2
189903,33,24,15
189904,61,49,37
189905,70,58,47
189906,80,69,57
189907,82,72,61
189908,83,71,59
189909,69,58,48
189910,65,53,42
189911,48,39,30
189912,30,22,14
190001,31,23,16
190002,24,13,2
190003,34,26,18
190004,60,48,37
190005,73,61,48
190006,79,67,54
190007,81,70,59
190008,85,75,64
190009,73,63,52
190010,67,56,45
190011,38,31,24
190012,32,25,18
190101,28,19,11
190102,23,11,0
190103,38,30,22
190104,59,47,35
190105,70,58,46
190106,82,70,57
190107,92,79,65
190108,83,70,58
190109,71,61,50
190110,63,51,40
190111,42,32,23
190112,26,19,13
190201,28,20,11
190202,27,16,6
190203,46,37,28
190204,58,46,34
190205,71,60,49
190206,73,63,53
190207,81,71,61
190208,76,66,55
190209,68,58,47
190210,61,50,39
190211,49,41,32
190212,28,20,13
190301,27,18,10
190302,30,20,10
190303,48,39,29
190304,58,47,36
190305,71,60,48
190306,74,63,52
190307,81,70,60
190308,74,66,57
190309,71,60,49
190310,60,49,39
190311,40,32,23
190312,24,15,5
190401,20,10,0
190402,20,10,0
190403,38,31,23
190404,52,41,30
190405,69,57,46
190406,78,66,54
190407,81,69,58
190408,78,66,53
190409,71,61,50
190410,59,49,39
190411,48,38,28
190412,28,19,11
190501,20,10,1
190502,21,11,1
190503,43,35,26
190504,56,45,35
190505,67,56,45
190506,77,66,54
190507,79,69,59
190508,80,69,59
190509,75,63,52
190510,59,47,36
190511,44,35,25
190512,34,25,17
190601,32,23,15
190602,29,19,10
190603,32,25,17
190604,61,49,37
190605,70,57,45
190606,76,65,54
190607,81,69,58
190608,81,71,61
190609,77,65,54
190610,59,49,38
190611,41,34,27
190612,32,24,17
190701,26,17,9
190702,31,20,10
190703,48,38,28
190704,48,38,28
190705,62,50,38
190706,75,64,54
190707,80,70,60
190708,77,66,55
190709,69,59,50
190710,57,46,36
190711,42,34,25
190712,33,26,18
190801,31,22,12
190802,29,20,12
190803,43,34,26
190804,57,46,35
190805,68,58,47
190806,76,65,54
190807,82,71,60
190808,81,68,55
190809,79,66,53
190810,61,50,39
190811,46,36,25
190812,31,23,14
190901,29,20,11
190902,32,23,15
190903,37,30,23
190904,50,41,31
190905,67,55,44
190906,77,66,55
190907,81,70,58
190908,83,71,60
190909,70,60,49
190910,56,45,34
190911,51,41,32
