Process A (30 Tickets),Process B (20 Tickets),Process C (10 Tickets)
0,1,0
0,1,1
0,2,1
0,2,2
1,2,2
1,2,3
2,2,3
2,2,4
3,2,4
3,3,4
3,4,4
4,4,4
4,5,4
4,5,5
4,6,5
5,6,5
5,7,5
5,8,5
6,8,5
6,9,5
7,9,5
8,9,5
9,9,5
9,10,5
10,10,5
10,10,6
11,10,6
11,11,6
12,11,6
13,11,6
14,11,6
14,11,7
14,12,7
15,12,7
15,13,7
15,13,8
16,13,8
17,13,8
18,13,8
18,13,9
19,13,9
19,13,10
20,13,10
20,13,11
21,13,11
21,14,11
21,15,11
21,16,11
21,17,11
22,17,11
23,17,11
23,18,11
24,18,11
24,19,11
25,19,11
25,20,11
25,21,11
25,21,12
25,22,12
25,22,13
25,23,13
25,24,13
26,24,13
26,24,14
26,25,14
26,25,15
26,26,15
26,26,16
27,26,16
28,26,16
29,26,16
29,26,17
29,27,17
29,28,17
30,28,17
30,29,17
31,29,17
32,29,17
33,29,17
33,30,17
33,31,17
33,31,18
34,31,18
35,31,18
36,31,18
36,31,19
37,31,19
37,32,19
37,33,19
37,34,19
37,35,19
37,35,20
37,36,20
37,37,20
38,37,20
38,38,20
39,38,20
39,38,21
40,38,21
41,38,21
42,38,21
42,39,21
43,39,21
43,39,22
43,40,22
43,40,23
43,41,23
43,42,23
44,42,23
44,43,23
45,43,23
45,44,23
46,44,23
47,44,23
48,44,23
49,44,23
50,44,23
50,45,23
51,45,23
51,45,24
51,46,24
52,46,24
53,46,24
53,47,24
53,48,24
54,48,24
55,48,24
55,49,24
56,49,24
56,50,24
57,50,24
57,50,25
58,50,25
59,50,25
60,50,25
61,50,25
61,51,25
62,51,25
62,52,25
62,53,25
63,53,25
64,53,25
65,53,25
65,53,26
66,53,26
66,54,26
67,54,26
68,54,26
68,55,26
68,55,27
69,55,27
70,55,27
71,55,27
71,56,27
71,57,27
71,58,27
71,59,27
71,59,28
71,60,28
71,60,29
71,61,29
71,61,30
72,61,30
72,62,30
72,63,30
72,64,30
73,64,30
74,64,30
74,65,30
74,65,31
75,65,31
75,66,31
76,66,31
76,67,31
77,67,31
77,68,31
78,68,31
79,68,31
80,68,31
81,68,31
82,68,31
83,68,31
84,68,31
85,68,31
85,69,31
85,69,32
86,69,32
86,69,33
87,69,33
87,69,34
87,70,34
87,71,34
88,71,34
89,71,34
90,71,34
91,71,34
91,72,34
91,73,34
92,73,34
92,74,34
92,75,34
93,75,34
94,75,34
95,75,34
96,75,34
96,75,35
97,75,35
98,75,35
99,75,35
99,76,35
99,77,35
99,78,35
100,78,35
100,79,35
100,80,35
101,80,35
101,81,35
101,82,35
102,82,35
102,82,36
103,82,36
103,83,36
104,83,36
105,83,36
106,83,36
106,83,37
107,83,37
108,83,37
109,83,37
109,83,38
110,83,38
111,83,38
111,84,38
112,84,38
112,85,38
112,85,39
113,85,39
114,85,39
115,85,39
116,85,39
117,85,39
117,86,39
117,87,39
118,87,39
118,88,39
118,89,39
119,89,39
120,89,39
120,90,39
120,91,39
121,91,39
121,91,40
122,91,40
123,91,40
124,91,40
125,91,40
125,92,40
125,92,41
125,93,41
125,93,42
125,94,42
126,94,42
127,94,42
128,94,42
128,95,42
129,95,42
130,95,42
130,95,43
131,95,43
131,95,44
132,95,44
133,95,44
134,95,44
135,95,44
136,95,44
137,95,44
138,95,44
138,96,44
139,96,44
139,96,45
140,96,45
141,96,45
142,96,45
142,96,46
143,96,46
143,96,47
144,96,47
144,97,47
144,98,47
144,98,48
145,98,48
145,99,48
145,100,48
145,101,48
145,102,48
145,102,49
145,103,49
145,104,49
146,104,49
147,104,49
148,104,49
149,104,49
150,104,49
150,104,50
151,104,50
151,105,50
151,106,50
151,106,51
151,107,51
151,107,52
152,107,52
153,107,52
154,107,52
154,107,53
155,107,53
155,107,54
156,107,54
157,107,54
157,108,54
157,109,54
157,110,54
158,110,54
158,111,54
158,111,55
159,111,55
160,111,55
161,111,55
161,112,55
161,113,55
161,113,56
162,113,56
163,113,56
164,113,56
164,114,56
165,114,56
165,115,56
165,116,56
165,116,57
166,116,57
167,116,57
168,116,57
169,116,57
170,116,57
170,116,58
171,116,58
171,116,59
171,117,59
172,117,59
172,118,59
172,118,60
173,118,60
173,119,60
173,120,60
173,121,60
174,121,60
175,121,60
175,122,60
176,122,60
176,123,60
177,123,60
178,123,60
179,123,60
180,123,60
180,124,60
180,125,60
181,125,60
182,125,60
182,126,60
182,127,60
182,127,61
183,127,61
183,128,61
184,128,61
184,129,61
185,129,61
186,129,61
187,129,61
187,130,61
187,131,61
188,131,61
189,131,61
190,131,61
190,132,61
190,132,62
190,133,62
191,133,62
192,133,62
192,134,62
193,134,62
193,134,63
194,134,63
195,134,63
196,134,63
196,134,64
196,135,64
197,135,64
198,135,64
198,135,65
198,136,65
198,136,66
198,137,66
199,137,66
200,137,66
200,137,67
201,137,67
201,137,68
201,138,68
201,139,68
202,139,68
202,139,69
203,139,69
203,139,70
204,139,70
205,139,70
206,139,70
206,140,70
207,140,70
207,140,71
207,141,71
207,142,71
208,142,71
208,142,72
209,142,72
209,142,73
210,142,73
210,143,73
211,143,73
211,144,73
212,144,73
212,145,73
213,145,73
213,145,74
214,145,74
214,146,74
215,146,74
215,146,75
216,146,75
216,146,76
217,146,76
217,147,76
218,147,76
219,147,76
220,147,76
221,147,76
222,147,76
222,148,76
223,148,76
224,148,76
224,149,76
225,149,76
226,149,76
226,150,76
227,150,76
227,150,77
227,151,77
227,152,77
227,153,77
228,153,77
229,153,77
229,153,78
229,154,78
229,154,79
230,154,79
231,154,79
231,155,79
231,156,79
232,156,79
233,156,79
234,156,79
235,156,79
235,157,79
235,157,80
235,158,80
235,158,81
236,158,81
236,158,82
237,158,82
237,159,82
238,159,82
238,160,82
238,161,82
238,161,83
239,161,83
240,161,83
240,162,83
240,163,83
241,163,83
241,163,84
242,163,84
243,163,84
244,163,84
244,164,84
245,164,84
245,165,84
245,166,84
245,166,85
246,166,85
247,166,85
247,167,85
248,167,85
248,168,85
249,168,85
249,169,85
249,169,86
